first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Lucas,Torreira,3,7,36,1,0,0,0,0,0,0,4.9,5,12.5,1.02,2.55
Billy,Sharp,4,9,44,1,0,1,3,0,0,0,6,7,14.318,1.167,2.387
Divock,Origi,4,13,84,1,1,2,3,0,0,0,5.5,10,10.714,1.818,1.948
Sofiane,Boufal,3,5,27,0,1,1,0,0,0,0,5.5,3,10,0.545,1.817
Teemu,Pukki,4,35,262,5,1,8,6,0,0,0,6.9,29,9.962,4.203,1.444
Mark,Noble,3,9,90,1,0,1,2,0,0,0,5,7,7,1.4,1.4
Harvey,Barnes,3,7,55,1,0,0,0,0,0,0,5.9,5,8.182,0.847,1.386
Harry,Wilson,3,14,128,2,0,3,1,0,0,0,6,11,7.734,1.833,1.289
Riyad,Mahrez,3,16,111,0,3,0,2,1,0,0,8.5,12,9.73,1.412,1.145
Ashley,Barnes,4,25,250,4,0,2,4,2,0,1,6.6,19,6.84,2.879,1.036
John,Lundstram,2,17,257,1,0,3,4,1,0,2,4.1,12,4.202,2.927,1.025
Moussa,Djenepo,3,5,50,1,0,0,0,0,0,2,5.4,3,5.4,0.556,1.001
Andreas,Pereira,3,7,74,0,1,0,0,1,0,0,5,4,4.865,0.8,0.973
Todd,Cantwell,3,19,270,1,2,8,2,0,0,0,4.7,13,4.333,2.766,0.922
Christian,Atsu,3,6,73,0,1,0,0,1,0,0,5.4,4,4.932,0.741,0.914
Jordan,Ayew,4,11,138,1,0,0,3,2,0,0,5,7,4.565,1.4,0.913
Wilfred,Ndidi,3,13,180,1,0,1,3,1,0,0,5,9,4.5,1.8,0.9
Calum,Chambers,2,6,90,0,0,0,0,1,0,0,4.5,4,4,0.889,0.889
Chris,Mepham,2,11,180,1,0,4,2,0,0,0,4.5,8,4,1.778,0.889
Kevin,Danso,2,6,90,0,0,0,0,1,0,0,4.5,4,4,0.889,0.889
Erik,Pieters,2,17,270,0,2,3,2,1,0,0,4.6,12,4,2.609,0.87
Daniel,Ceballos Fernández,3,14,168,0,2,4,3,0,0,0,5.6,9,4.821,1.607,0.861
Douglas Luiz,Soares de Paulo,3,13,188,1,0,4,2,1,0,0,4.5,8,3.83,1.778,0.851
Javier,Hernández Balcázar,4,9,106,1,0,4,2,0,0,0,6,6,5.094,1,0.849
Tanguy,Ndombele,3,14,180,1,1,3,2,0,0,0,6.1,10,5,1.639,0.82
Sergio,Agüero,4,24,176,4,0,3,3,0,0,0,12,19,9.716,1.583,0.809
Jeffrey,Schlupp,3,8,104,0,1,0,1,1,0,0,5.5,5,4.327,0.909,0.787
Oliver,McBurnie,4,8,97,1,0,1,1,0,0,0,5.9,5,4.639,0.847,0.786
Lucas,Digne,2,18,252,0,1,2,2,2,0,0,6,13,4.643,2.167,0.774
Raheem,Sterling,3,34,270,5,0,3,4,1,0,2,12.2,28,9.333,2.295,0.765
Jonjo,Shelvey,3,9,143,1,0,3,1,0,0,0,5,6,3.776,1.2,0.755
Tammy,Abraham,4,15,168,2,0,5,3,0,0,1,7.1,10,5.357,1.408,0.754
Mason,Mount,3,20,270,2,0,7,4,0,0,0,6.2,14,4.667,2.258,0.753
Sébastien,Haller,4,15,180,2,0,6,3,0,0,0,7.4,11,5.5,1.486,0.743
Tyrone,Mings,2,14,270,0,1,5,3,1,0,0,4.5,10,3.333,2.222,0.741
John,Stones,2,6,90,0,0,0,0,1,0,0,5.4,4,4,0.741,0.741
Patrick,van Aanholt,2,18,270,1,0,2,2,1,0,0,5.5,12,4,2.182,0.727
Benjamin,Chilwell,2,6,90,0,0,0,0,1,0,0,5.5,4,4,0.727,0.727
Lewis,Dunk,2,15,270,0,1,3,4,1,0,1,4.6,10,3.333,2.174,0.725
Alexandre,Lacazette,4,9,79,1,0,1,2,0,0,0,9.5,6,6.835,0.632,0.72
Yerry,Mina,2,17,270,0,0,2,4,2,0,0,5.6,12,4,2.143,0.714
Danny,Ings,4,13,174,1,1,2,1,1,0,0,6,8,4.138,1.333,0.689
Frédéric,Guilbert,2,5,90,0,0,0,0,1,0,1,4.4,3,3,0.682,0.682
Mohamed,Salah,3,30,258,3,1,2,5,1,0,0,12.5,24,8.372,1.92,0.67
James,Milner,3,8,98,0,1,1,0,1,0,0,5.5,4,3.673,0.727,0.668
George,Baldock,2,14,270,0,1,3,3,1,0,1,4.5,9,3,2,0.667
Ainsley,Maitland-Niles,2,15,270,0,1,4,3,1,0,0,5.1,10,3.333,1.961,0.654
Joel,Matip,2,11,180,1,0,2,1,0,0,0,5.4,7,3.5,1.296,0.648
Daniel,James,3,13,194,2,0,3,0,0,0,2,6,8,3.711,1.333,0.618
Neal,Maupay,4,9,122,1,0,1,1,0,0,0,6,5,3.689,0.833,0.615
Kevin,De Bruyne,3,23,258,0,4,3,4,1,0,0,9.7,17,5.93,1.753,0.612
Michael,Keane,2,15,270,0,0,2,2,2,0,0,5.5,10,3.333,1.818,0.606
David,Silva,3,14,181,0,2,1,2,1,0,0,7.4,9,4.475,1.216,0.605
Willy,Boly,2,15,270,0,0,2,5,1,0,0,5,9,3,1.8,0.6
Marcus,Rashford,4,19,263,2,1,3,4,1,0,0,8.7,15,5.133,1.724,0.59
Erik,Lamela,3,15,232,1,1,4,2,0,0,1,6,9,3.491,1.5,0.582
Anthony,Martial,3,19,270,2,1,3,0,1,0,1,7.7,13,4.333,1.688,0.563
John,McGinn,3,15,270,1,1,5,0,1,0,0,5.6,9,3,1.607,0.536
Jordan,Pickford,1,14,270,0,0,2,1,2,0,0,5.6,9,3,1.607,0.536
Andre,Gray,4,11,171,1,0,5,2,0,0,0,5.9,6,3.158,1.017,0.535
Johann Berg,Gudmundsson,3,14,226,1,0,2,1,2,0,0,6,8,3.186,1.333,0.531
Bjorn,Engels,2,11,270,0,0,5,3,1,0,0,4.5,7,2.333,1.556,0.519
Çaglar,Söyüncü,2,13,270,0,1,2,0,1,0,0,4.5,7,2.333,1.556,0.519
Bernard,Anício Caldeira Duarte,3,15,241,1,0,1,3,2,0,1,6.5,9,3.361,1.385,0.517
Sadio,Mané,3,17,182,1,1,1,3,1,0,0,11.5,12,5.934,1.043,0.516
Florin,Andone,4,5,71,1,0,2,1,0,1,0,5,2,2.535,0.4,0.507
José Ignacio,Peleteiro Romallo,3,8,122,0,1,3,0,1,0,0,5.9,4,2.951,0.678,0.5
João Filipe Iria,Santos Moutinho,3,12,238,0,1,2,3,1,0,0,5.5,7,2.647,1.273,0.481
Jannik,Vestergaard,2,11,270,0,0,5,3,1,0,0,5,7,2.333,1.4,0.467
Manuel,Lanzini,3,15,267,0,2,7,3,0,0,0,6.5,9,3.034,1.385,0.467
Dwight,McNeil,3,14,258,0,2,2,0,2,0,0,6,8,2.791,1.333,0.465
Anwar,El Ghazi,3,10,177,1,0,5,0,0,0,0,5.5,5,2.542,0.909,0.462
Lucas,Rodrigues Moura da Silva,3,13,214,1,1,2,0,0,0,0,7.5,8,3.364,1.067,0.449
Scott,Dann,2,8,180,0,0,1,0,1,0,0,4.5,4,2,0.889,0.445
Emil,Krafth,2,7,180,0,0,3,0,1,0,0,4.5,4,2,0.889,0.445
Dean,Henderson,1,12,270,0,0,3,2,1,0,0,4.5,6,2,1.333,0.444
Mathew,Ryan,1,12,270,0,0,3,2,1,0,0,4.6,6,2,1.304,0.435
Leandro,Trossard,3,9,174,1,0,3,0,0,0,0,6,5,2.586,0.833,0.431
Nathan,Redmond,3,14,270,1,0,5,2,1,0,0,6.4,8,2.667,1.25,0.417
Wesley,Moraes,4,13,253,1,0,3,3,1,0,0,6,7,2.49,1.167,0.415
Callum,Wilson,4,15,247,0,3,5,0,0,0,0,7.9,9,3.279,1.139,0.415
Pascal,Groß,3,10,168,0,1,2,1,1,0,0,6.5,5,2.679,0.769,0.412
Gabriel Fernando,de Jesus,4,7,92,1,0,0,0,1,0,0,9.5,4,3.913,0.421,0.412
Sokratis,Papastathopoulos,2,11,270,0,0,4,2,1,0,0,5,6,2,1.2,0.4
Jonny,Evans,2,12,270,0,0,2,2,1,0,0,5,6,2,1.2,0.4
Fabian,Schär,2,11,270,0,0,4,2,1,0,0,5,6,2,1.2,0.4
Rui Pedro,dos Santos Patrício,1,18,270,0,0,2,2,1,0,0,5,6,2,1.2,0.4
Ricardo Domingos,Barbosa Pereira,2,13,270,0,0,2,3,1,0,0,6,7,2.333,1.167,0.389
James,Maddison,3,14,270,0,2,2,1,1,0,0,7,8,2.667,1.143,0.381
Nick,Pope,1,13,270,0,0,3,1,1,0,0,4.5,5,1.667,1.111,0.37
