first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Billy,Sharp,4,8,8,1,0,0,3,0,0,0,6,7,78.75,1.167,13.129
Florin,Andone,4,7,42,1,0,0,1,0,0,0,5,5,10.714,1,2.143
Divock,Origi,4,13,84,1,1,2,3,0,0,0,5.6,10,10.714,1.786,1.914
Chris,Mepham,2,10,90,1,0,1,2,0,0,0,4.5,8,8,1.778,1.778
John,Lundstram,2,17,167,1,0,1,4,1,0,1,4.1,13,7.006,3.171,1.709
Teemu,Pukki,4,24,172,4,0,5,4,0,0,0,6.8,20,10.465,2.941,1.539
Neal,Maupay,4,7,49,1,0,0,1,0,0,0,6,5,9.184,0.833,1.53
Douglas Luiz,Soares de Paulo,3,10,98,1,0,4,2,0,0,0,4.5,7,6.429,1.556,1.429
Daniel,Ceballos Fernández,3,12,108,0,2,1,3,0,0,0,5.6,9,7.5,1.607,1.339
Erik,Pieters,2,15,180,0,2,2,2,1,0,0,4.6,12,6,2.609,1.304
Riyad,Mahrez,3,15,100,0,3,0,2,1,0,0,8.5,12,10.8,1.412,1.271
Lucas,Digne,2,17,162,0,1,0,2,2,0,0,6,13,7.222,2.167,1.204
Harry,Wilson,3,8,75,1,0,1,1,0,0,0,6,6,7.2,1,1.2
Ashley,Barnes,4,18,173,3,0,2,3,1,0,1,6.6,14,7.283,2.121,1.103
Lewis,Dunk,2,14,180,0,1,1,4,1,0,1,4.6,10,5,2.174,1.087
Yerry,Mina,2,16,180,0,0,0,4,2,0,0,5.6,12,6,2.143,1.071
Ainsley,Maitland-Niles,2,14,180,0,1,1,3,1,0,0,5,10,5,2,1
Andreas,Pereira,3,7,74,0,1,0,0,1,0,0,5,4,4.865,0.8,0.973
Michael,Keane,2,14,180,0,0,0,2,2,0,0,5.5,10,5,1.818,0.909
Raheem,Sterling,3,26,180,4,0,2,3,1,0,2,12.2,22,11,1.803,0.901
Wilfred,Ndidi,3,13,180,1,0,1,3,1,0,0,5,9,4.5,1.8,0.9
Marcus,Rashford,4,19,173,2,1,1,4,1,0,0,8.7,15,7.803,1.724,0.897
Leandro,Trossard,3,7,84,1,0,1,0,0,0,0,6,5,5.357,0.833,0.892
Calum,Chambers,2,6,90,0,0,0,0,1,0,0,4.5,4,4,0.889,0.889
Todd,Cantwell,3,12,180,0,2,5,2,0,0,0,4.6,8,4,1.739,0.87
James,Milner,3,7,77,0,1,0,0,1,0,0,5.5,4,4.675,0.727,0.85
Javier,Hernández Balcázar,4,9,106,1,0,4,2,0,0,0,6,6,5.094,1,0.849
Danny,Ings,4,8,91,1,0,2,1,0,0,0,6,5,4.945,0.833,0.824
Tanguy,Ndombele,3,14,180,1,1,3,2,0,0,0,6.1,10,5,1.639,0.82
Alexandre,Lacazette,4,8,70,1,0,1,2,0,0,0,9.5,6,7.714,0.632,0.813
Sadio,Mané,3,14,106,1,1,1,3,0,0,0,11.5,11,9.34,0.957,0.813
Jordan,Pickford,1,13,180,0,0,0,1,2,0,0,5.6,9,4.5,1.607,0.803
Erik,Lamela,3,13,171,1,1,3,2,0,0,1,6,9,4.737,1.5,0.789
Kevin,De Bruyne,3,18,168,0,3,2,4,1,0,0,9.6,14,7.5,1.458,0.781
Lucas,Rodrigues Moura da Silva,3,11,124,1,1,1,0,0,0,0,7.5,8,5.806,1.067,0.774
Jonjo,Shelvey,3,9,143,1,0,3,1,0,0,0,5,6,3.776,1.2,0.755
Benjamin,Chilwell,2,6,90,0,0,0,0,1,0,0,5.5,4,4,0.727,0.727
John,Stones,2,6,90,0,0,0,0,1,0,0,5.5,4,4,0.727,0.727
Willy,Boly,2,11,180,0,0,1,3,1,0,0,5,7,3.5,1.4,0.7
Sergio,Agüero,4,11,86,2,0,2,0,0,0,0,12,8,8.372,0.667,0.698
Bernard,Anício Caldeira Duarte,3,13,180,1,0,0,3,2,0,1,6.5,9,4.5,1.385,0.693
Dean,Henderson,1,11,180,0,0,1,2,1,0,0,4.5,6,3,1.333,0.666
Mason,Mount,3,12,180,1,0,5,3,0,0,0,6.1,8,4,1.311,0.655
Mathew,Ryan,1,11,180,0,0,1,2,1,0,0,4.6,6,3,1.304,0.652
Johann Berg,Gudmundsson,3,11,161,1,0,2,1,1,0,0,6,7,3.913,1.167,0.652
Anthony,Martial,3,14,180,2,0,1,0,1,0,1,7.7,10,5,1.299,0.649
Seamus,Coleman,2,11,180,0,0,0,0,2,0,1,5.5,7,3.5,1.273,0.636
João Filipe Iria,Santos Moutinho,3,11,180,0,1,1,3,1,0,0,5.5,7,3.5,1.273,0.636
Sokratis,Papastathopoulos,2,10,180,0,0,1,2,1,0,0,5,6,3,1.2,0.6
Jonny,Evans,2,10,180,0,0,1,2,1,0,0,5,6,3,1.2,0.6
Rui Pedro,dos Santos Patrício,1,15,180,0,0,1,2,1,0,0,5,6,3,1.2,0.6
Ricardo Domingos,Barbosa Pereira,2,11,180,0,0,1,3,1,0,0,6,7,3.5,1.167,0.584
Daniel,James,3,7,104,1,0,1,0,0,0,1,6,4,3.462,0.667,0.577
Tyrone,Mings,2,7,180,0,1,5,2,0,0,0,4.5,5,2.5,1.111,0.555
Nick,Pope,1,11,180,0,0,2,1,1,0,0,4.5,5,2.5,1.111,0.555
David,de Gea,1,12,180,0,0,1,2,1,0,0,5.6,6,3,1.071,0.535
Nacho,Monreal,2,9,180,0,0,1,1,1,0,0,5,5,2.5,1,0.5
Bernd,Leno,1,10,180,0,0,1,1,1,0,0,5,5,2.5,1,0.5
Martin,Kelly,2,8,180,0,0,1,0,1,0,0,4,4,2,1,0.5
Kyle,Walker,2,9,180,0,1,2,0,1,0,1,6,6,3,1,0.5
Enda,Stevens,2,9,180,0,0,1,1,1,0,0,5,5,2.5,1,0.5
Harry,Kane,4,15,180,2,0,3,3,0,0,0,11,11,5.5,1,0.5
Roberto,Firmino,4,13,175,1,1,2,2,0,0,0,9.5,9,4.629,0.947,0.487
Rúben Diogo,da Silva Neves,3,9,170,1,0,1,1,1,0,2,5.5,5,2.647,0.909,0.481
Mohamed,Salah,3,15,168,1,1,1,2,1,0,0,12.5,11,5.893,0.88,0.471
Chris,Basham,2,8,171,0,0,1,0,1,0,0,4.5,4,2.105,0.889,0.468
Virgil,van Dijk,2,10,180,1,0,2,0,0,0,0,6.5,6,3,0.923,0.462
Manuel,Lanzini,3,10,180,0,1,6,3,0,0,0,6.5,6,3,0.923,0.462
John,McGinn,3,9,180,1,0,5,0,0,0,0,5.6,5,2.5,0.893,0.447
Aaron,Wan-Bissaka,2,9,180,0,0,1,2,1,0,1,5.6,5,2.5,0.893,0.447
Jamal,Lewis,2,6,179,0,0,4,0,1,0,0,4.5,4,2.011,0.889,0.447
Martín,Montoya,2,8,180,0,0,1,0,1,0,0,4.5,4,2,0.889,0.445
Dan,Burn,2,8,180,0,0,1,0,1,0,0,4.5,4,2,0.889,0.445
Matthew,Lowton,2,7,180,0,0,2,0,1,0,0,4.5,4,2,0.889,0.445
Joel,Ward,2,8,180,0,0,1,0,1,0,0,4.5,4,2,0.889,0.445
Scott,Dann,2,8,180,0,0,1,0,1,0,0,4.5,4,2,0.889,0.445
Çaglar,Söyüncü,2,8,180,0,0,1,0,1,0,0,4.5,4,2,0.889,0.445
Jack,O'Connell,2,8,180,0,0,1,0,1,0,0,4.5,4,2,0.889,0.445
John,Egan,2,8,180,0,0,1,0,1,0,0,4.5,4,2,0.889,0.445
Matt,Doherty,2,7,135,0,0,1,0,1,0,0,6,4,2.667,0.667,0.445
Pascal,Groß,3,9,156,0,1,1,1,1,0,0,6.5,5,2.885,0.769,0.444
Sean,Longstaff,3,5,82,0,1,2,0,0,0,1,5,2,2.195,0.4,0.439
Gabriel Fernando,de Jesus,4,7,92,1,0,0,0,1,0,0,9.5,4,3.913,0.421,0.412
Paul,Pogba,3,9,180,0,2,1,0,1,0,0,8.6,7,3.5,0.814,0.407
Shane,Duffy,2,8,180,0,0,1,0,1,0,0,5,4,2,0.8,0.4
Davy,Pröpper,3,8,180,0,1,1,0,1,0,0,5,4,2,0.8,0.4
Ben,Mee,2,7,180,0,0,2,0,1,0,0,5,4,2,0.8,0.4
James,Tarkowski,2,7,180,0,0,2,0,1,0,0,5,4,2,0.8,0.4
Vicente,Guaita,1,8,180,0,0,1,0,1,0,0,5,4,2,0.8,0.4
Kasper,Schmeichel,1,9,180,0,0,1,0,1,0,0,5,4,2,0.8,0.4
Conor,Coady,2,8,180,0,0,1,0,1,0,0,5,4,2,0.8,0.4
Callum,Wilson,4,10,179,0,2,2,0,0,0,0,7.9,6,3.017,0.759,0.382
Pierre-Emerick,Aubameyang,4,12,180,2,0,1,1,1,0,1,11,8,4,0.727,0.363
Patrick,van Aanholt,2,8,180,0,0,1,0,1,0,0,5.5,4,2,0.727,0.363
Oleksandr,Zinchenko,2,7,180,0,0,2,0,1,0,0,5.5,4,2,0.727,0.363
Harry,Maguire,2,8,180,0,0,1,0,1,0,0,5.5,4,2,0.727,0.363
Luke,Shaw,2,8,180,0,0,1,0,1,0,0,5.5,4,2,0.727,0.363
Dwight,McNeil,3,8,173,0,1,2,0,1,0,0,6,4,2.081,0.667,0.347
Ahmed,El Mohamady,2,5,180,0,0,5,3,0,0,0,4.5,3,1.5,0.667,0.334
Jack,Grealish,3,8,180,0,1,5,1,0,0,0,6,4,2,0.667,0.334
George,Baldock,2,7,180,0,0,1,0,1,0,1,4.5,3,1.5,0.667,0.334
Ederson,Santana de Moraes,1,8,180,0,0,2,0,1,0,0,6.1,4,2,0.656,0.328
Joshua,King,4,8,180,1,0,2,0,0,0,0,6.5,4,2,0.615,0.307
Aymeric,Laporte,2,7,180,0,0,2,0,1,0,0,6.5,4,2,0.615,0.307
Moussa,Sissoko,3,7,180,0,1,3,0,0,0,0,5,3,1.5,0.6,0.3
Ryan,Bennett,2,7,180,0,0,1,0,1,0,1,5,3,1.5,0.6,0.3
James,Maddison,3,8,180,0,1,1,0,1,0,0,7,4,2,0.571,0.285
Victor,Lindelöf,2,7,180,0,0,1,0,1,0,1,5.5,3,1.5,0.545,0.273
Jonathan,Castro Otto,2,7,180,0,0,1,0,1,0,1,5.5,3,1.5,0.545,0.273
Emiliano,Buendía,3,6,180,0,1,5,0,0,0,1,6,2,1,0.333,0.167
Hamza,Choudhury,3,5,132,0,0,1,0,1,0,0,4.5,1,0.682,0.222,0.151
Richarlison,de Andrade,3,6,152,0,0,0,0,2,0,0,8,2,1.184,0.25,0.148
Trent,Alexander-Arnold,2,6,180,0,1,2,0,0,0,1,7,2,1,0.286,0.143
Gylfi,Sigurdsson,3,6,168,0,0,0,0,2,0,0,7.9,2,1.071,0.253,0.136
Jean-Philippe,Gbamin,3,4,135,0,0,0,0,1,0,0,5,1,0.667,0.2,0.133
David,Silva,3,4,91,0,0,0,0,1,0,0,7.5,1,0.989,0.133,0.132
Tom,Trybull,3,5,155,0,0,4,0,1,0,0,4.5,1,0.581,0.222,0.129
Joseph,Willock,3,5,153,0,0,1,0,1,0,0,5,1,0.588,0.2,0.118
Marco,Stiepermann,3,4,140,0,0,4,0,1,0,0,5.5,1,0.643,0.182,0.117
