first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Matej,Vydra,4,4,12,0,1,0,0,0,0,0,5.4,3,22.5,0.556,4.17
Matt,Targett,2,9,61,0,0,0,3,1,0,0,4.4,7,10.328,1.591,2.347
Callum,Hudson-Odoi,3,4,27,0,1,0,0,0,0,0,5.9,3,10,0.508,1.693
Moussa,Djenepo,3,16,123,2,0,0,3,1,0,2,5.3,12,8.78,2.264,1.657
Aaron,Cresswell,2,21,270,2,0,7,2,1,0,0,4.9,18,6,3.673,1.224
Divock,Origi,4,16,151,1,1,3,3,0,0,0,5.3,10,5.96,1.887,1.125
Michy,Batshuayi,4,7,39,0,1,2,0,0,0,0,6.6,3,6.923,0.455,1.05
Billy,Sharp,4,7,64,1,0,2,3,0,1,0,5.7,4,5.625,0.702,0.987
Andriy,Yarmolenko,3,33,376,3,0,3,5,3,0,0,6,23,5.505,3.833,0.917
Riyad,Mahrez,3,45,398,2,5,1,6,3,0,0,8.5,34,7.688,4,0.905
Tammy,Abraham,4,46,486,7,0,9,9,1,0,2,7.6,35,6.481,4.605,0.853
Kevin,De Bruyne,3,63,528,2,9,4,10,3,0,0,10,50,8.523,5,0.852
Javier,Hernández Balcázar,4,9,106,1,0,4,2,0,0,0,6,6,5.094,1,0.849
Lys,Mousset,4,8,87,1,0,1,0,0,0,0,4.9,4,4.138,0.816,0.844
Calum,Chambers,2,14,225,1,0,2,0,1,0,1,4.4,9,3.6,2.045,0.818
Bernardo Mota,Veiga de Carvalho e Silva,3,34,341,4,1,6,2,1,0,2,7.9,24,6.334,3.038,0.802
Teemu,Pukki,4,53,622,6,2,16,9,0,0,0,7.2,39,5.643,5.417,0.784
Serge,Aurier,2,13,210,0,2,3,2,1,1,0,5,9,3.857,1.8,0.771
Matt,Doherty,2,29,390,1,1,4,3,2,0,0,6,20,4.615,3.333,0.769
David,Silva,3,37,408,1,5,4,3,3,0,0,7.6,26,5.735,3.421,0.755
John,Lundstram,2,34,598,1,1,7,7,2,0,2,4.4,22,3.311,5,0.753
Sergio,Agüero,4,59,470,8,3,6,6,2,0,0,12.2,47,9,3.852,0.738
Jetro,Willems,2,16,297,1,0,5,0,1,0,0,4.5,10,3.03,2.222,0.673
Erik,Pieters,2,33,630,0,3,9,5,2,0,0,4.8,22,3.143,4.583,0.655
Fikayo,Tomori,2,17,360,1,0,6,3,1,0,1,4.6,12,3,2.609,0.652
Danny,Ings,4,26,361,2,1,6,4,1,0,0,5.9,15,3.74,2.542,0.634
Tanguy,Ndombele,3,24,365,2,1,6,2,0,0,0,6,15,3.699,2.5,0.616
Joel,Ward,2,31,630,0,1,7,5,3,0,1,4.5,19,2.714,4.222,0.603
John,McGinn,3,38,630,3,1,11,4,2,0,0,5.7,24,3.429,4.211,0.602
Callum,Wilson,4,46,607,5,3,12,4,0,0,1,7.9,32,4.745,4.051,0.601
Martin,Kelly,2,22,438,0,0,2,0,3,0,0,4.1,12,2.466,2.927,0.601
Alexandre,Lacazette,4,14,145,2,0,3,2,0,0,1,9.3,9,5.586,0.968,0.601
Douglas Luiz,Soares de Paulo,3,16,267,1,0,4,2,2,0,1,4.5,8,2.697,1.778,0.599
Arthur,Masuaku,2,18,336,0,1,2,3,2,1,1,4.5,10,2.679,2.222,0.595
Chris,Mepham,2,13,271,1,0,7,2,0,0,0,4.5,8,2.657,1.778,0.59
Ricardo Domingos,Barbosa Pereira,2,39,630,2,0,5,5,2,0,0,6.1,25,3.571,4.098,0.585
Romain,Saïss,2,14,319,1,1,8,0,1,1,1,4.4,9,2.539,2.045,0.577
Harry,Wilson,3,25,386,3,0,9,1,0,0,1,6.1,15,3.497,2.459,0.573
Anthony,Martial,3,19,270,2,1,3,0,1,0,1,7.6,13,4.333,1.711,0.57
Gabriel Fernando,de Jesus,4,17,190,2,1,1,0,1,0,0,9.5,11,5.211,1.158,0.549
Joel,Matip,2,30,540,1,0,4,4,2,0,0,5.5,18,3,3.273,0.546
Anwar,El Ghazi,3,25,421,2,1,9,0,1,0,0,5.5,14,2.993,2.545,0.544
Jeff,Hendrick,3,13,215,1,0,3,1,1,0,0,5.4,7,2.93,1.296,0.543
Roberto,Firmino,4,46,573,3,4,4,9,2,0,0,9.6,33,5.183,3.438,0.54
Johann Berg,Gudmundsson,3,14,226,1,0,2,1,2,0,0,5.9,8,3.186,1.356,0.54
Mason,Mount,3,39,630,3,1,13,6,1,0,0,6.7,25,3.571,3.731,0.533
Jannik,Vestergaard,2,29,618,1,0,11,6,2,0,1,5.2,19,2.767,3.654,0.532
Heung-Min,Son,3,33,411,2,3,6,3,1,0,0,9.7,23,5.036,2.371,0.519
Erik,Lamela,3,29,485,2,2,6,2,1,0,2,6.1,17,3.155,2.787,0.517
Florin,Andone,4,5,71,1,0,2,1,0,1,0,4.9,2,2.535,0.408,0.517
Patrick,van Aanholt,2,30,630,1,0,7,2,3,0,0,5.6,20,2.857,3.571,0.51
Joshua,King,4,36,618,2,3,12,5,0,0,0,6.3,22,3.204,3.492,0.509
Pierre-Emerick,Aubameyang,4,53,630,7,1,11,10,1,0,2,11,39,5.571,3.545,0.506
Todd,Cantwell,3,31,606,2,2,15,2,0,0,1,5,17,2.525,3.4,0.505
Wilfred,Ndidi,3,27,540,2,0,4,3,2,0,0,5,15,2.5,3,0.5
Lukasz,Fabianski,1,32,573,0,0,8,4,3,0,0,5.1,16,2.513,3.137,0.493
Bukayo,Saka,3,6,124,0,1,2,0,0,0,0,4.5,3,2.177,0.667,0.484
Jamie,Vardy,4,44,630,5,1,5,8,2,0,1,8.9,30,4.286,3.371,0.482
Sadio,Mané,3,45,516,4,1,3,6,3,0,0,11.6,32,5.581,2.759,0.481
Nicolás,Otamendi,2,25,512,1,1,7,0,2,0,2,5.5,15,2.637,2.727,0.479
Lucas,Torreira,3,12,193,1,0,4,0,0,0,0,4.9,5,2.332,1.02,0.476
Raheem,Sterling,3,46,535,6,0,7,4,2,0,2,12.1,34,5.72,2.81,0.473
Morgan,Gibbs-White,3,7,119,0,1,2,0,0,0,0,4.8,3,2.269,0.625,0.473
Willy,Boly,2,25,540,0,1,6,6,2,1,0,5,14,2.333,2.8,0.467
Mark,Noble,3,21,428,1,1,3,2,3,0,2,5,11,2.313,2.2,0.463
N'Golo,Kanté,3,10,197,1,0,4,1,0,0,1,5,5,2.284,1,0.457
Trent,Alexander-Arnold,2,37,630,1,3,5,2,2,0,2,7.2,23,3.286,3.194,0.456
Mohamed,Salah,3,53,618,4,3,4,7,3,0,0,12.5,39,5.68,3.12,0.454
Scott,Dann,2,8,180,0,0,1,0,1,0,0,4.4,4,2,0.909,0.454
Sébastien,Haller,4,32,540,3,1,8,5,3,0,0,7.4,20,3.333,2.703,0.451
Lucas,Rodrigues Moura da Silva,3,15,223,1,1,2,0,0,0,0,7.2,8,3.229,1.111,0.448
Fabian,Schär,2,25,613,1,0,13,2,2,0,1,5,15,2.202,3,0.44
Scott,McTominay,3,29,615,1,1,6,5,2,0,0,5,15,2.195,3,0.439
Mathew,Ryan,1,28,630,0,0,10,6,2,0,0,4.6,14,2,3.043,0.435
Marcus,Rashford,4,36,593,3,2,6,7,2,0,1,8.4,24,3.642,2.857,0.434
Jordan,Ayew,4,23,450,2,0,4,6,5,0,3,5.1,11,2.2,2.157,0.431
Will,Hughes,3,22,419,1,1,16,3,0,0,0,5.5,11,2.363,2,0.43
