first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Adam,Lallana,3,10,30,1,0,0,1,0,0,0,5.8,6,18,1.034,3.102
Matej,Vydra,4,5,19,0,1,0,0,0,0,0,5.3,3,14.211,0.566,2.681
Michy,Batshuayi,4,13,45,1,1,2,1,0,0,0,6.6,8,16,1.212,2.424
Moussa,Djenepo,3,16,123,2,0,0,3,1,0,2,5.2,12,8.78,2.308,1.689
Matt,Targett,2,24,241,1,1,2,5,1,0,0,4.4,18,6.722,4.091,1.528
Aaron,Connolly,4,18,199,2,0,4,3,1,0,0,4.5,11,4.975,2.444,1.105
James,Milner,3,23,225,1,2,2,3,1,0,1,5.3,14,5.6,2.642,1.057
Daryl,Janmaat,2,23,352,0,1,3,6,2,0,0,4.3,17,4.347,3.953,1.011
Callum,Hudson-Odoi,3,18,196,0,3,1,3,1,0,0,6,13,5.969,2.167,0.995
Lys,Mousset,4,15,170,2,0,1,1,0,0,0,4.9,9,4.765,1.837,0.973
Josip,Drmic,4,10,72,1,0,2,0,0,0,0,5.4,4,5,0.741,0.926
Aaron,Cresswell,2,23,353,2,0,8,2,1,0,0,5,18,4.589,3.6,0.918
Matthew,Longstaff,3,12,180,1,0,1,2,1,0,0,4.5,8,4,1.778,0.889
Douglas Luiz,Soares de Paulo,3,23,293,2,0,5,2,2,0,1,4.5,13,3.993,2.889,0.887
Javier,Hernández Balcázar,4,9,106,1,0,4,2,0,0,0,6,6,5.094,1,0.849
Djibril,Sidibé,2,9,121,0,0,1,3,1,0,1,5.3,6,4.463,1.132,0.842
Jetro,Willems,2,30,477,1,1,6,3,2,0,0,4.5,20,3.774,4.444,0.838
Riyad,Mahrez,3,46,457,2,5,1,6,3,0,0,8.6,34,6.696,3.953,0.778
Danny,Ings,4,42,531,4,1,10,8,1,0,0,5.9,27,4.576,4.576,0.776
Divock,Origi,4,18,222,1,1,5,3,0,0,0,5.3,10,4.054,1.887,0.765
David,Silva,3,51,560,2,5,4,6,5,0,0,7.6,36,5.786,4.737,0.761
Matt,Doherty,2,34,457,1,2,5,3,2,0,0,6,23,4.53,3.833,0.755
Kevin,De Bruyne,3,66,618,2,9,4,10,4,0,0,10.1,51,7.427,5.05,0.735
John,Lundstram,2,45,778,1,1,7,7,4,0,3,4.6,29,3.355,6.304,0.729
Tammy,Abraham,4,56,659,8,0,10,11,2,0,2,7.8,41,5.599,5.256,0.718
Calum,Chambers,2,23,405,1,0,3,2,2,0,2,4.4,14,3.111,3.182,0.707
Martin,Kelly,2,29,528,0,1,3,2,3,0,0,4.1,17,2.898,4.146,0.707
Bernardo Mota,Veiga de Carvalho e Silva,3,41,461,4,2,8,2,2,0,2,7.9,28,5.466,3.544,0.692
Marcos,Alonso,2,30,436,1,2,4,3,2,0,3,6.2,20,4.128,3.226,0.666
Andriy,Yarmolenko,3,35,498,3,0,5,5,3,0,1,6,22,3.976,3.667,0.663
Adama,Traoré,3,34,560,2,1,9,6,2,0,0,5.1,21,3.375,4.118,0.662
Harvey,Barnes,3,28,408,1,3,4,3,0,0,0,5.9,17,3.75,2.881,0.636
N'Golo,Kanté,3,17,287,2,0,5,1,0,0,1,5,10,3.136,2,0.627
Sergio,Agüero,4,61,560,8,3,8,6,2,0,0,12.2,47,7.554,3.852,0.619
Anwar,El Ghazi,3,36,559,2,3,10,0,2,0,0,5.5,21,3.381,3.818,0.615
Chris,Mepham,2,13,271,1,0,7,2,0,0,0,4.4,8,2.657,1.818,0.604
Teemu,Pukki,4,55,795,6,2,21,9,1,0,2,7,37,4.189,5.286,0.598
Jeff,Hendrick,3,24,395,2,0,5,4,2,0,2,5.4,14,3.19,2.593,0.591
Adam,Webster,2,23,540,1,0,9,2,2,0,1,4.4,15,2.5,3.409,0.568
Anthony,Martial,3,20,276,2,1,4,0,1,0,1,7.5,13,4.239,1.733,0.565
Romain,Saïss,2,15,331,1,1,8,0,1,1,1,4.4,9,2.447,2.045,0.556
Serge,Aurier,2,15,300,0,2,4,2,1,1,0,4.9,9,2.7,1.837,0.551
Billy,Sharp,4,9,117,1,0,2,3,0,1,0,5.7,4,3.077,0.702,0.54
Patrick,van Aanholt,2,40,810,2,0,10,3,3,0,0,5.6,27,3,4.821,0.536
Erik,Pieters,2,35,774,0,3,11,5,2,0,0,4.8,22,2.558,4.583,0.533
Mason,Mount,3,49,772,4,1,14,6,2,0,0,6.8,31,3.614,4.559,0.531
Bernard,Anício Caldeira Duarte,3,27,418,2,0,3,5,3,0,2,6.5,16,3.445,2.462,0.53
Florin,Andone,4,5,71,1,0,2,1,0,1,0,4.8,2,2.535,0.417,0.529
Alexandre,Lacazette,4,15,166,2,0,3,2,0,0,1,9.3,9,4.88,0.968,0.525
Tanguy,Ndombele,3,26,430,2,1,8,2,0,0,0,6,15,3.14,2.5,0.523
Fikayo,Tomori,2,24,540,1,0,7,3,2,0,2,4.8,15,2.5,3.125,0.521
Jack,O'Connell,2,37,810,0,1,7,4,4,0,2,4.5,21,2.333,4.667,0.519
Gabriel Fernando,de Jesus,4,25,295,3,1,3,1,2,0,0,9.5,16,4.881,1.684,0.514
Enda,Stevens,2,39,810,0,1,7,4,4,0,0,5,23,2.556,4.6,0.511
Lewis,Dunk,2,34,810,0,2,12,7,3,0,4,4.6,21,2.333,4.565,0.507
Jordan,Ayew,4,34,629,3,0,7,9,5,0,3,5.1,18,2.576,3.529,0.505
Lukasz,Fabianski,1,32,573,0,0,8,4,3,0,0,5,16,2.513,3.2,0.503
Wesley,Moraes,4,42,769,4,1,11,7,2,0,0,6.1,26,3.043,4.262,0.499
George,Baldock,2,36,810,0,1,7,3,4,0,2,4.5,20,2.222,4.444,0.494
Willy,Boly,2,34,720,0,1,7,7,3,1,0,5,19,2.375,3.8,0.475
Morgan,Gibbs-White,3,7,119,0,1,2,0,0,0,0,4.8,3,2.269,0.625,0.473
Lucas,Torreira,3,13,200,1,0,4,0,0,0,0,4.8,5,2.25,1.042,0.469
João Pedro Cavaco,Cancelo,2,11,217,0,0,2,3,1,0,1,5.3,6,2.488,1.132,0.469
John,Egan,2,35,810,0,0,7,3,4,0,0,4.5,19,2.111,4.222,0.469
Arthur,Masuaku,2,19,426,0,1,4,3,2,1,1,4.5,10,2.113,2.222,0.469
Joel,Matip,2,32,630,1,0,5,4,2,0,0,5.5,18,2.571,3.273,0.468
Jannik,Vestergaard,2,31,708,1,0,12,6,2,0,1,5.2,19,2.415,3.654,0.464
Sadio,Mané,3,59,696,5,2,5,8,3,0,0,11.8,42,5.431,3.559,0.46
Callum,Wilson,4,50,787,5,3,13,4,1,0,1,8,32,3.659,4,0.457
Jack,Grealish,3,42,810,2,3,13,5,2,0,2,5.9,24,2.667,4.068,0.452
Benjamin,Mendy,2,7,135,0,0,0,0,1,0,0,5.9,4,2.667,0.678,0.452
Ricardo Domingos,Barbosa Pereira,2,42,810,2,0,8,5,2,0,0,6.2,25,2.778,4.032,0.448
Bamidele,Alli,3,8,120,1,0,2,1,0,0,1,8.4,5,3.75,0.595,0.446
Harry,Wilson,3,30,532,3,0,10,1,1,0,1,6.1,16,2.707,2.623,0.444
Johann Berg,Gudmundsson,3,17,309,1,0,2,1,3,0,0,5.9,9,2.621,1.525,0.444
Jamie,Vardy,4,54,810,6,1,8,10,2,0,1,9.1,36,4,3.956,0.44
Chris,Basham,2,33,774,0,0,7,1,4,0,0,4.5,17,1.977,3.778,0.439
Scott,Dann,2,9,187,0,0,1,0,1,0,0,4.4,4,1.925,0.909,0.437
Diego,Rico,2,22,540,0,2,6,2,1,0,1,4.2,11,1.833,2.619,0.436
Joel,Ward,2,33,810,0,1,10,5,3,0,2,4.6,18,2,3.913,0.435
Marcus,Rashford,4,47,766,4,2,7,10,3,0,1,8.4,31,3.642,3.69,0.434
John,McGinn,3,41,810,3,1,13,4,2,0,1,5.9,23,2.556,3.898,0.433
Todd,Cantwell,3,36,765,2,2,19,2,1,0,1,4.9,18,2.118,3.673,0.432
Joshua,King,4,39,736,2,3,13,5,0,0,0,6.3,22,2.69,3.492,0.427
Mathew,Ryan,1,38,810,0,0,12,6,3,0,0,4.7,18,2,3.83,0.426
Erik,Lamela,3,32,602,2,2,9,2,1,0,2,6,17,2.542,2.833,0.424
Will,Hughes,3,23,425,1,1,17,3,0,0,0,5.5,11,2.329,2,0.424
Roberto,Firmino,4,50,740,3,4,5,9,3,0,0,9.6,33,4.014,3.438,0.418
Jonjo,Shelvey,3,14,305,1,0,6,1,1,0,0,5,7,2.066,1.4,0.413
Fabian,Schär,2,32,793,1,0,14,2,3,0,2,5,18,2.043,3.6,0.409
Heung-Min,Son,3,36,528,2,3,9,3,1,0,0,9.7,23,3.92,2.371,0.404
Nicolás,Otamendi,2,26,602,1,1,9,0,2,0,2,5.6,15,2.243,2.679,0.401
Mohamed,Salah,3,55,708,4,3,5,7,3,0,0,12.4,39,4.958,3.145,0.4
Ashley,Barnes,4,34,644,4,0,7,4,4,0,2,6.4,18,2.516,2.812,0.393
Pierre-Emerick,Aubameyang,4,57,810,7,1,12,10,2,0,2,11.1,39,4.333,3.514,0.39
Sébastien,Haller,4,39,720,4,1,12,5,3,0,1,7.4,23,2.875,3.108,0.389
Callum,Robinson,3,23,484,1,1,4,1,2,0,0,5.3,11,2.045,2.075,0.386
Dean,Henderson,1,39,810,0,0,7,2,4,0,2,4.6,16,1.778,3.478,0.386
Raheem,Sterling,3,53,715,6,1,9,4,3,0,3,12.1,37,4.657,3.058,0.385
