first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Adam,Lallana,3,10,30,1,0,0,1,0,0,0,5.8,6,18,1.034,3.102
Michy,Batshuayi,4,13,45,1,1,2,1,0,0,0,6.6,8,16,1.212,2.424
Moussa,Djenepo,3,16,123,2,0,0,3,1,0,2,5.2,12,8.78,2.308,1.689
Lys,Mousset,4,22,197,3,0,1,3,0,0,0,4.9,15,6.853,3.061,1.398
Aaron,Connolly,4,26,278,2,2,6,3,1,0,0,4.6,17,5.504,3.696,1.197
Adam,Masina,2,6,72,0,0,0,0,1,0,0,4.3,4,5,0.93,1.163
Onel,Hernández,3,8,74,1,0,1,0,0,0,0,5.3,5,6.081,0.943,1.147
Matt,Targett,2,25,331,1,1,5,5,1,0,0,4.4,18,4.894,4.091,1.112
Matej,Vydra,4,6,46,0,1,0,0,0,0,0,5.3,3,5.87,0.566,1.107
Federico,Fernández,2,11,113,0,1,1,3,0,0,0,4.4,6,4.779,1.364,1.086
Robbie,Brady,3,10,78,0,2,1,0,0,0,1,5.5,5,5.769,0.909,1.049
Daryl,Janmaat,2,29,442,0,1,3,6,3,0,0,4.3,21,4.276,4.884,0.994
James,Milner,3,23,238,1,2,2,3,1,0,2,5.3,13,4.916,2.453,0.928
Josip,Drmic,4,10,72,1,0,2,0,0,0,0,5.4,4,5,0.741,0.926
Christian,Pulisic,3,38,401,3,3,10,3,0,0,0,7.1,27,6.06,3.803,0.854
Javier,Hernández Balcázar,4,9,106,1,0,4,2,0,0,0,6,6,5.094,1,0.849
Callum,Hudson-Odoi,3,18,214,0,3,3,3,1,0,1,6,12,5.047,2,0.841
Riyad,Mahrez,3,46,457,2,5,1,6,3,0,0,8.5,34,6.696,4,0.788
David,Silva,3,60,650,3,5,4,7,6,0,0,7.7,43,5.954,5.584,0.773
Harvey,Barnes,3,37,479,1,5,4,3,1,0,0,5.9,24,4.509,4.068,0.764
Divock,Origi,4,19,223,1,1,5,3,0,0,0,5.3,10,4.036,1.887,0.762
Aaron,Cresswell,2,25,443,2,0,9,2,1,0,0,4.9,18,3.657,3.673,0.746
Andriy,Yarmolenko,3,43,588,3,1,6,8,3,0,1,6,28,4.286,4.667,0.714
Martin,Kelly,2,29,528,0,1,3,2,3,0,0,4.1,17,2.898,4.146,0.707
Jetro,Willems,2,32,567,1,1,7,3,2,0,0,4.5,20,3.175,4.444,0.705
Danny,Ings,4,43,576,4,1,15,8,1,0,0,6,27,4.219,4.5,0.703
Kevin,De Bruyne,3,72,693,2,10,4,10,5,0,0,10.2,55,7.143,5.392,0.7
Tammy,Abraham,4,61,728,8,1,10,11,3,0,2,7.8,44,5.44,5.641,0.697
Marcos,Alonso,2,36,498,1,2,4,3,3,0,3,6.3,24,4.337,3.81,0.689
Ayoze,Pérez,3,42,569,3,2,5,2,3,0,0,6,26,4.112,4.333,0.685
Douglas Luiz,Soares de Paulo,3,25,383,2,0,8,2,2,0,1,4.5,13,3.055,2.889,0.679
John,Lundstram,2,47,868,1,1,8,7,4,0,3,4.6,29,3.007,6.304,0.654
Anthony,Martial,3,26,350,3,1,4,0,2,0,1,7.5,19,4.886,2.533,0.651
Matt,Doherty,2,36,547,1,2,6,3,2,0,0,6,23,3.784,3.833,0.631
N'Golo,Kanté,3,17,287,2,0,5,1,0,0,1,5,10,3.136,2,0.627
Benjamin,Chilwell,2,42,720,1,3,6,1,3,0,1,5.5,27,3.375,4.909,0.614
Sergio,Agüero,4,62,574,8,3,8,6,2,0,0,12.1,47,7.369,3.884,0.609
Anwar,El Ghazi,3,37,565,2,3,10,0,2,0,0,5.5,21,3.345,3.818,0.608
Chris,Mepham,2,13,271,1,0,7,2,0,0,0,4.4,8,2.657,1.818,0.604
Bernardo Mota,Veiga de Carvalho e Silva,3,44,551,4,2,8,2,3,0,2,7.9,29,4.737,3.671,0.6
Jordan,Ayew,4,42,709,4,0,9,11,5,0,3,5.1,24,3.047,4.706,0.597
Matthew,Longstaff,3,14,269,1,0,2,2,1,0,0,4.5,8,2.677,1.778,0.595
Benjamin,Mendy,2,13,207,0,0,0,0,2,0,0,5.9,8,3.478,1.356,0.59
Jamie,Vardy,4,74,900,9,2,8,13,3,0,1,9.2,54,5.4,5.87,0.587
Adama,Traoré,3,36,650,2,1,10,6,2,0,0,5.1,21,2.908,4.118,0.57
Willian,Borges Da Silva,3,40,576,2,2,6,7,3,0,1,7,25,3.906,3.571,0.558
João Pedro Cavaco,Cancelo,2,17,307,0,0,2,3,2,0,1,5.3,10,2.932,1.887,0.553
Teemu,Pukki,4,57,885,6,2,24,9,1,0,2,6.9,37,3.763,5.362,0.545
Calum,Chambers,2,23,495,1,0,5,2,2,0,3,4.4,13,2.364,2.955,0.537
Florin,Andone,4,5,71,1,0,2,1,0,1,0,4.8,2,2.535,0.417,0.529
Mason,Mount,3,54,862,4,2,16,6,2,0,0,6.9,34,3.55,4.928,0.515
Lukasz,Fabianski,1,32,573,0,0,8,4,3,0,0,5,16,2.513,3.2,0.503
Marcus,Rashford,4,56,856,5,3,8,12,3,0,1,8.4,40,4.206,4.762,0.501
Enda,Stevens,2,43,900,0,2,8,4,4,0,1,5,25,2.5,5,0.5
Bernard,Anício Caldeira Duarte,3,28,447,2,0,4,5,3,0,2,6.5,16,3.221,2.462,0.496
Adam,Webster,2,22,630,1,0,11,2,2,0,1,4.4,15,2.143,3.409,0.487
Djibril,Sidibé,2,10,211,0,0,4,3,1,0,1,5.3,6,2.559,1.132,0.483
John,Stones,2,14,281,0,0,3,0,2,0,0,5.3,8,2.562,1.509,0.483
Patrick,van Aanholt,2,41,900,2,0,12,3,3,0,0,5.6,27,2.7,4.821,0.482
Neal,Maupay,4,40,690,4,0,9,7,3,0,1,6,22,2.87,3.667,0.478
Diego,Rico,2,27,630,0,2,6,2,2,0,2,4.2,14,2,3.333,0.476
Willy,Boly,2,34,720,0,1,7,7,3,1,0,5,19,2.375,3.8,0.475
Morgan,Gibbs-White,3,7,119,0,1,2,0,0,0,0,4.8,3,2.269,0.625,0.473
Lucas,Torreira,3,13,200,1,0,4,0,0,0,0,4.8,5,2.25,1.042,0.469
Arthur,Masuaku,2,19,426,0,1,4,3,2,1,1,4.5,10,2.113,2.222,0.469
Joel,Matip,2,32,630,1,0,5,4,2,0,0,5.5,18,2.571,3.273,0.468
Gabriel Fernando,de Jesus,4,30,385,3,2,3,1,3,0,0,9.5,19,4.442,2,0.468
Jack,O'Connell,2,39,900,0,1,8,4,4,0,2,4.5,21,2.1,4.667,0.467
Ricardo Domingos,Barbosa Pereira,2,48,900,2,0,8,5,3,0,0,6.3,29,2.9,4.603,0.46
Jamaal,Lascelles,2,36,891,1,0,15,3,3,0,1,4.4,20,2.02,4.545,0.459
Tanguy,Ndombele,3,26,457,2,1,9,2,0,0,1,6,14,2.757,2.333,0.459
Wesley,Moraes,4,44,839,4,1,14,7,2,0,0,6.1,26,2.789,4.262,0.457
Lewis,Dunk,2,35,900,0,2,14,7,3,0,4,4.6,21,2.1,4.565,0.457
Leandro,Trossard,3,15,272,1,1,7,0,0,0,0,5.8,8,2.647,1.379,0.456
Erik,Pieters,2,34,864,0,3,15,5,2,0,1,4.8,21,2.188,4.375,0.456
Alexandre,Lacazette,4,20,256,2,1,5,2,0,0,1,9.3,12,4.219,1.29,0.454
Robert,Snodgrass,3,13,229,1,0,5,2,0,0,1,5.2,6,2.358,1.154,0.454
Jeff,Hendrick,3,25,478,2,0,9,4,2,0,3,5.4,13,2.448,2.407,0.453
Fikayo,Tomori,2,25,630,1,0,9,3,2,0,2,4.8,15,2.143,3.125,0.446
Jannik,Vestergaard,2,30,753,1,0,17,6,2,0,1,5.1,19,2.271,3.725,0.445
Johann Berg,Gudmundsson,3,17,309,1,0,2,1,3,0,0,5.9,9,2.621,1.525,0.444
