first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Lucas,Digne,2,158,2964,4,5,38,22,13,1,5,6.0,105,3.188,52.5,1.594
Yerry,Mina,2,36,891,1,0,13,2,3,0,3,5.5,17,1.717,11.333,1.145
Michael,Keane,2,129,2970,1,2,39,15,13,0,2,5.5,77,2.333,51.333,1.556
Seamus,Coleman,2,125,2558,2,2,30,12,13,0,1,5.5,81,2.85,54.0,1.9
Leighton,Baines,2,7,374,0,0,6,0,0,0,0,5.0,0,0.0,0.0,0.0
Cenk,Tosun,4,56,1044,3,3,17,3,1,0,3,6.0,21,1.81,14.0,1.207
Dominic,Calvert-Lewin,4,92,1769,6,5,26,3,8,0,3,6.0,39,1.984,26.0,1.323
Jordan,Pickford,1,161,3420,0,0,46,13,14,0,1,5.5,68,1.789,45.333,1.193
Richarlison,de Andrade,3,153,2662,13,3,36,12,11,1,5,8.0,89,3.009,25.429,0.86
Gylfi,Sigurdsson,3,182,3122,13,6,41,20,15,0,3,8.0,115,3.315,32.857,0.947
Bernard,Anício Caldeira Duarte,3,88,2108,1,4,19,5,13,0,5,6.5,30,1.281,15.0,0.64
Theo,Walcott,3,101,2108,5,3,33,4,6,0,1,6.5,43,1.836,21.5,0.918
Tom,Davies,3,26,975,0,0,19,0,2,0,3,5.5,-1,-0.092,-1.0,-0.092
Ademola,Lookman,3,34,600,0,3,8,0,1,0,0,5.0,10,1.5,20.0,3.0
Idrissa,Gueye,3,78,2821,0,2,31,0,13,0,6,5.0,13,0.415,26.0,0.829
James,McCarthy,3,1,14,0,0,0,0,0,0,0,4.5,0,0.0,0,0.0
Morgan,Schneiderlin,3,28,832,0,1,9,0,5,0,2,4.5,6,0.649,0,0.0
Fabian,Delph,2,29,722,0,1,9,2,3,1,1,5.5,13,1.62,8.667,1.08
André Filipe,Tavares Gomes,3,64,1977,1,2,28,2,9,0,7,5.5,15,0.683,15.0,0.683
Mason,Holgate,2,5,407,0,0,9,0,0,0,1,4.5,-1,-0.221,-2.0,-0.442
Jonas,Lössl,1,99,2777,0,1,54,9,5,0,1,4.5,31,1.005,62.0,2.009
Ricardo Domingos,Barbosa Pereira,2,146,3123,2,8,45,22,10,0,7,6.0,91,2.622,45.5,1.311
Harry,Maguire,2,92,2596,3,1,41,10,6,1,6,5.5,46,1.595,30.667,1.063
Benjamin,Chilwell,2,118,3240,0,5,43,8,10,0,4,5.5,59,1.639,39.333,1.093
Jonny,Evans,2,77,1993,1,0,26,3,8,0,2,5.0,39,1.761,39.0,1.761
Christian,Fuchs,2,3,206,0,0,5,0,0,0,0,4.5,0,0.0,0.0,0.0
Çaglar,Söyüncü,2,9,371,0,0,4,0,0,0,1,4.5,-1,-0.243,-2.0,-0.485
Wes,Morgan,2,76,1924,3,0,28,7,6,2,1,4.5,42,1.965,84.0,3.929
Jamie,Vardy,4,174,2726,18,5,36,31,11,1,3,9.0,112,3.698,24.889,0.822
Kelechi,Iheanacho,4,58,924,1,5,16,3,1,0,2,6.0,20,1.948,13.333,1.299
Kasper,Schmeichel,1,120,3420,0,0,48,6,10,0,3,5.0,43,1.132,43.0,1.132
James,Maddison,3,137,2831,7,7,44,12,8,1,3,7.0,70,2.225,28.0,0.89
Harvey,Barnes,3,43,1001,1,3,16,1,1,0,0,6.0,16,1.439,10.667,0.959
Rachid,Ghezzal,3,28,733,1,0,13,2,1,0,3,5.5,5,0.614,5.0,0.614
Marc,Albrighton,3,63,1617,2,2,17,4,5,0,3,5.5,22,1.224,22.0,1.224
Demarai,Gray,3,84,1978,4,1,29,3,6,0,2,5.5,30,1.365,30.0,1.365
Wilfred,Ndidi,3,89,3295,2,0,47,4,9,0,8,5.0,15,0.41,30.0,0.819
Daniel,Amartey,3,15,639,0,0,9,0,1,0,2,4.5,-1,-0.141,0,0.0
Nampalys,Mendy,3,58,2085,0,1,29,0,7,0,5,4.5,5,0.216,0,0.0
Hamza,Choudhury,3,20,593,0,0,4,0,4,0,0,4.5,4,0.607,0,0.0
Ayoze,Pérez,3,141,2916,12,2,35,19,11,0,2,6.5,94,2.901,47.0,1.451
Youri,Tielemans,3,63,1087,3,5,14,6,3,0,2,6.5,37,3.063,18.5,1.532
Andrew,Robertson,2,213,3216,0,12,20,29,21,0,4,7.0,145,4.058,48.333,1.353
Trent,Alexander-Arnold,2,185,2460,1,13,14,25,16,0,3,7.0,131,4.793,43.667,1.598
Virgil,van Dijk,2,208,3384,4,4,22,22,20,0,1,6.5,137,3.644,54.8,1.457
Joseph,Gomez,2,55,1059,0,0,4,2,7,0,2,5.5,28,2.38,18.667,1.586
Joel,Matip,2,83,1535,1,0,12,7,9,0,3,5.5,46,2.697,30.667,1.798
Dejan,Lovren,2,63,986,1,1,7,9,6,0,1,5.5,41,3.742,27.333,2.495
Roberto,Firmino,4,160,2606,12,8,15,24,19,0,0,9.5,96,3.315,19.2,0.663
Divock,Origi,4,32,364,3,1,2,1,3,0,0,5.5,16,3.956,16.0,3.956
Alisson,Ramses Becker,1,176,3420,0,0,22,9,21,0,1,6.0,92,2.421,46.0,1.211
Mohamed,Salah,3,259,3254,22,12,20,18,21,0,1,12.5,184,5.089,23.0,0.636
Sadio,Mané,3,231,3076,22,3,21,24,19,0,2,11.5,160,4.681,22.857,0.669
Alex,Oxlade-Chamberlain,3,2,19,0,0,0,0,0,0,0,6.5,0,0.0,0.0,0.0
Xherdan,Shaqiri,3,88,1052,6,5,6,4,7,0,2,6.5,54,4.62,27.0,2.31
Adam,Lallana,3,23,460,0,1,3,0,3,0,1,6.0,5,0.978,3.333,0.652
Naby,Keita,3,67,1385,2,1,8,3,10,0,0,6.0,26,1.69,17.333,1.126
Fabio Henrique,Tavares,3,65,2011,1,2,14,0,11,0,6,5.5,16,0.716,16.0,0.716
Jordan,Henderson,3,76,1976,1,3,14,2,12,1,1,5.5,24,1.093,24.0,1.093
Georginio,Wijnaldum,3,108,2723,3,1,16,9,18,0,3,5.5,42,1.388,42.0,1.388
James,Milner,3,101,1778,5,5,13,12,9,1,5,5.5,53,2.683,53.0,2.683
Rafael,Camacho,3,1,1,0,0,1,0,0,0,0,4.5,0,0.0,0,0.0
Aymeric,Laporte,2,177,3056,3,3,21,16,18,0,3,6.5,112,3.298,44.8,1.319
Kyle,Walker,2,150,2776,1,1,17,11,18,0,3,6.0,89,2.885,44.5,1.443
Benjamin,Mendy,2,59,900,0,6,6,6,4,0,1,6.0,39,3.9,19.5,1.95
Oleksandr,Zinchenko,2,44,1151,0,3,4,1,9,0,1,5.5,45,3.519,30.0,2.346
John,Stones,2,83,1761,0,0,15,9,9,0,1,5.5,44,2.249,29.333,1.499
Nicolás,Otamendi,2,70,1233,0,0,7,5,9,0,1,5.5,40,2.92,26.667,1.946
Danilo Luiz,da Silva,2,46,805,1,0,7,7,4,0,1,5.0,28,3.13,28.0,3.13
Sergio,Agüero,4,201,2457,21,11,15,26,17,0,4,12.0,139,5.092,18.533,0.679
Gabriel Fernando,de Jesus,4,79,1017,7,3,11,7,2,0,1,9.5,43,3.805,8.6,0.761
Ederson,Santana de Moraes,1,169,3420,0,1,23,6,20,0,2,6.0,87,2.289,43.5,1.145
Raheem,Sterling,3,234,2770,17,15,19,25,17,0,3,12.0,169,5.491,22.533,0.732
Kevin,De Bruyne,3,59,968,2,3,3,8,6,0,2,9.5,31,2.882,6.2,0.576
