first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Billy,Sharp,4,8,8,1,0,0,3,0,0,0,6,7,78.75,1.167,13.129
Daniel,James,3,6,16,1,0,0,0,0,0,0,6,5,28.125,0.833,4.686
Florin,Andone,4,6,26,1,0,0,1,0,0,0,5,5,17.308,1,3.462
Neal,Maupay,4,6,26,1,0,0,1,0,0,0,6,5,17.308,0.833,2.883
Erik,Pieters,2,14,90,0,2,0,2,1,0,0,4.5,12,12,2.667,2.667
Divock,Origi,4,12,73,1,1,1,3,0,0,0,5.5,10,12.329,1.818,2.241
Ainsley,Maitland-Niles,2,12,90,0,1,0,3,1,0,0,5,10,10,2,2
Lewis,Dunk,2,11,90,0,1,0,3,1,0,1,4.5,9,9,2,2
Ashley,Barnes,4,13,83,2,0,0,3,1,0,0,6.5,11,11.928,1.692,1.835
Chris,Mepham,2,10,90,1,0,1,2,0,0,0,4.5,8,8,1.778,1.778
Raheem,Sterling,3,20,90,3,0,0,3,1,0,1,12,18,18,1.5,1.5
Sergio,Agüero,4,5,21,1,0,0,0,0,0,0,12,4,17.143,0.333,1.427
Riyad,Mahrez,3,14,90,0,3,0,2,1,0,0,8.5,12,12,1.412,1.412
Willy,Boly,2,9,90,0,0,0,3,1,0,0,5,7,7,1.4,1.4
Marcus,Rashford,4,13,85,2,0,0,3,1,0,0,8.5,11,11.647,1.294,1.37
Mathew,Ryan,1,9,90,0,0,0,2,1,0,0,4.5,6,6,1.333,1.333
Yerry,Mina,2,9,90,0,0,0,3,1,0,0,5.5,7,7,1.273,1.273
Sokratis,Papastathopoulos,2,8,90,0,0,0,2,1,0,0,5,6,6,1.2,1.2
Johann Berg,Gudmundsson,3,9,90,1,0,0,1,1,0,0,6,7,7,1.167,1.167
Ricardo Domingos,Barbosa Pereira,2,9,90,0,0,0,3,1,0,0,6,7,7,1.167,1.167
Tyrone,Mings,2,6,90,0,1,3,2,0,0,0,4.5,5,5,1.111,1.111
Nick,Pope,1,8,90,0,0,0,1,1,0,0,4.5,5,5,1.111,1.111
Michael,Keane,2,8,90,0,0,0,2,1,0,0,5.5,6,6,1.091,1.091
Aaron,Wan-Bissaka,2,8,90,0,0,0,2,1,0,0,5.5,6,6,1.091,1.091
David,de Gea,1,10,90,0,0,0,2,1,0,0,5.5,6,6,1.091,1.091
Nacho,Monreal,2,7,90,0,0,0,1,1,0,0,5,5,5,1,1
Bernd,Leno,1,7,90,0,0,0,1,1,0,0,5,5,5,1,1
Martin,Kelly,2,6,90,0,0,0,0,1,0,0,4,4,4,1,1
Jonny,Evans,2,7,90,0,0,0,1,1,0,0,5,5,5,1,1
Kyle,Walker,2,8,90,0,1,0,0,1,0,1,6,6,6,1,1
Harry,Kane,4,13,90,2,0,1,3,0,0,0,11,11,11,1,1
Tanguy,Ndombele,3,8,90,1,0,1,1,0,0,0,6,6,6,1,1
Andreas,Pereira,3,6,73,0,1,0,0,1,0,0,5,4,4.932,0.8,0.986
Virgil,van Dijk,2,8,90,1,0,1,0,0,0,0,6.5,6,6,0.923,0.923
John,McGinn,3,7,90,1,0,3,0,0,0,0,5.5,5,5,0.909,0.909
Jordan,Pickford,1,7,90,0,0,0,1,1,0,0,5.5,5,5,0.909,0.909
Calum,Chambers,2,6,90,0,0,0,0,1,0,0,4.5,4,4,0.889,0.889
Martín,Montoya,2,6,90,0,0,0,0,1,0,0,4.5,4,4,0.889,0.889
Dan,Burn,2,6,90,0,0,0,0,1,0,0,4.5,4,4,0.889,0.889
Matthew,Lowton,2,6,90,0,0,0,0,1,0,0,4.5,4,4,0.889,0.889
