first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Billy,Sharp,4,9,44,1,0,1,3,0,0,0,5.9,7,14.318,1.186,2.426
Divock,Origi,4,14,89,1,1,2,3,0,0,0,5.5,10,10.112,1.818,1.838
Romain,Saïss,2,7,67,1,0,2,0,0,0,0,4.4,6,8.06,1.364,1.832
Jordan,Ayew,4,20,223,2,0,0,6,3,0,0,5.1,14,5.65,2.745,1.108
Teemu,Pukki,4,37,352,5,1,10,6,0,0,0,7,29,7.415,4.143,1.059
Tammy,Abraham,4,28,251,4,0,6,6,0,0,1,7.2,21,7.53,2.917,1.046
Alex,Iwobi,3,10,104,1,0,3,2,0,0,0,5.9,7,6.058,1.186,1.026
Moussa,Djenepo,3,5,50,1,0,0,0,0,0,2,5.4,3,5.4,0.556,1.001
Lucas,Torreira,3,9,98,1,0,2,0,0,0,0,4.9,5,4.592,1.02,0.937
Sergio,Agüero,4,40,266,6,1,3,6,1,0,0,12.1,33,11.165,2.727,0.923
Calum,Chambers,2,6,90,0,0,0,0,1,0,0,4.5,4,4,0.889,0.889
Harry,Wilson,3,16,191,2,0,5,1,0,0,0,6,11,5.183,1.833,0.864
Javier,Hernández Balcázar,4,9,106,1,0,4,2,0,0,0,6,6,5.094,1,0.849
Tanguy,Ndombele,3,14,180,1,1,3,2,0,0,0,6,10,5,1.667,0.833
Mark,Noble,3,12,174,1,0,1,2,1,0,0,5,8,4.138,1.6,0.828
David,Silva,3,24,258,0,4,1,3,2,0,0,7.4,17,5.93,2.297,0.801
Jannik,Vestergaard,2,22,360,1,0,6,6,1,0,0,5,16,4,3.2,0.8
Ashley,Barnes,4,27,322,4,0,4,4,2,0,1,6.7,19,5.311,2.836,0.793
Kevin,De Bruyne,3,36,326,1,5,3,6,2,0,0,9.8,28,7.73,2.857,0.789
Sébastien,Haller,4,23,270,3,0,6,5,1,0,0,7.5,17,5.667,2.267,0.756
Jonjo,Shelvey,3,9,143,1,0,3,1,0,0,0,5,6,3.776,1.2,0.755
John,Stones,2,6,90,0,0,0,0,1,0,0,5.4,4,4,0.741,0.741
John,Lundstram,2,18,347,1,0,5,4,1,0,2,4.2,12,3.112,2.857,0.741
Lucas,Digne,2,23,342,0,2,4,3,2,0,0,6.1,17,4.474,2.787,0.733
Daniel,Ceballos Fernández,3,15,195,0,2,4,3,0,0,0,5.7,9,4.154,1.579,0.729
Daniel,James,3,21,284,3,0,4,1,0,0,2,6.1,14,4.437,2.295,0.727
Patrick,van Aanholt,2,24,360,1,0,2,2,2,0,0,5.6,16,4,2.857,0.714
Todd,Cantwell,3,21,347,1,2,10,2,0,0,0,4.8,13,3.372,2.708,0.702
Riyad,Mahrez,3,19,201,0,3,0,2,2,0,0,8.5,13,5.821,1.529,0.685
Joel,Matip,2,17,270,1,0,2,1,1,0,0,5.4,11,3.667,2.037,0.679
James,Milner,3,8,98,0,1,1,0,1,0,0,5.5,4,3.673,0.727,0.668
Andriy,Yarmolenko,3,10,137,1,0,1,0,1,0,0,5.9,6,3.942,1.017,0.668
Arthur,Masuaku,2,15,270,0,1,2,3,1,0,1,4.5,9,3,2,0.667
Erik,Pieters,2,18,360,0,2,6,2,1,0,0,4.6,12,3,2.609,0.652
Benjamin,Chilwell,2,11,180,0,1,1,0,1,0,0,5.4,7,3.5,1.296,0.648
Harvey,Barnes,3,9,125,1,0,1,0,0,0,0,5.9,5,3.6,0.847,0.61
Fabian,Schär,2,19,354,1,0,5,2,1,0,0,5,12,3.051,2.4,0.61
Douglas Luiz,Soares de Paulo,3,15,258,1,0,4,2,2,0,1,4.6,8,2.791,1.739,0.607
Will,Hughes,3,19,299,1,1,8,3,0,0,0,5.5,11,3.311,2,0.602
Wilfred,Ndidi,3,15,270,1,0,2,3,1,0,0,5,9,3,1.8,0.6
Alexandre,Lacazette,4,14,145,2,0,3,2,0,0,1,9.4,9,5.586,0.957,0.594
Chris,Mepham,2,12,270,1,0,7,2,0,0,0,4.5,8,2.667,1.778,0.593
Raheem,Sterling,3,37,360,5,0,3,4,2,0,2,12.3,29,7.25,2.358,0.59
Mohamed,Salah,3,36,348,3,2,2,5,2,0,0,12.5,28,7.241,2.24,0.579
Erik,Lamela,3,18,291,1,2,5,2,0,0,2,6,11,3.402,1.833,0.567
Anthony,Martial,3,19,270,2,1,3,0,1,0,1,7.7,13,4.333,1.688,0.563
Jamie,Vardy,4,28,360,3,1,3,5,1,0,0,8.9,20,5,2.247,0.562
Tyrone,Mings,2,16,360,0,1,6,3,1,0,0,4.5,10,2.5,2.222,0.555
Joel,Ward,2,18,360,0,0,2,2,2,0,0,4.5,10,2.5,2.222,0.555
Mason,Mount,3,22,360,2,0,9,4,0,0,0,6.4,14,3.5,2.188,0.547
Yerry,Mina,2,18,360,0,0,4,4,2,0,0,5.6,12,3,2.143,0.536
Richarlison,de Andrade,3,23,319,2,0,3,3,2,0,0,7.9,15,4.232,1.899,0.536
Johann Berg,Gudmundsson,3,14,226,1,0,2,1,2,0,0,6,8,3.186,1.333,0.531
Callum,Robinson,3,15,288,1,1,4,1,0,0,0,5.3,9,2.812,1.698,0.531
Sadio,Mané,3,25,266,2,1,1,3,2,0,0,11.5,18,6.09,1.565,0.53
Jeffrey,Schlupp,3,11,187,0,1,0,1,2,0,0,5.5,6,2.888,1.091,0.525
Roberto,Firmino,4,27,344,2,2,3,5,1,0,0,9.5,19,4.971,2,0.523
Andreas,Pereira,3,9,141,0,1,1,0,1,0,0,5,4,2.553,0.8,0.511
Florin,Andone,4,5,71,1,0,2,1,0,1,0,5,2,2.535,0.4,0.507
Sofiane,Boufal,3,7,97,0,1,2,0,0,0,0,5.5,3,2.784,0.545,0.506
Martin,Kelly,2,16,348,0,0,2,0,2,0,0,4.1,8,2.069,1.951,0.505
Trent,Alexander-Arnold,2,22,360,0,3,3,2,1,0,1,7,14,3.5,2,0.5
George,Baldock,2,15,360,0,1,5,3,1,0,1,4.5,9,2.25,2,0.5
Kevin,Danso,2,8,162,0,1,1,0,1,1,0,4.5,4,2.222,0.889,0.494
Ainsley,Maitland-Niles,2,16,360,0,1,6,3,1,0,0,5.1,10,2.5,1.961,0.49
Lewis,Dunk,2,14,360,0,1,7,4,1,0,2,4.6,9,2.25,1.957,0.489
Bernard,Anício Caldeira Duarte,3,16,255,1,0,1,3,2,0,1,6.5,9,3.176,1.385,0.489
Danny,Ings,4,15,250,1,1,3,1,1,0,0,6,8,2.88,1.333,0.48
Anwar,El Ghazi,3,10,177,1,0,5,0,0,0,0,5.5,5,2.542,0.909,0.462
Lucas,Rodrigues Moura da Silva,3,13,214,1,1,2,0,0,0,0,7.4,8,3.364,1.081,0.455
Michael,Keane,2,16,360,0,0,4,2,2,0,0,5.5,10,2.5,1.818,0.454
Marcus,Rashford,4,21,353,2,1,4,4,1,0,0,8.5,15,3.824,1.765,0.45
Enda,Stevens,2,15,360,0,1,5,2,1,0,0,5,9,2.25,1.8,0.45
Willy,Boly,2,16,360,0,1,5,5,1,1,0,5,9,2.25,1.8,0.45
Scott,Dann,2,8,180,0,0,1,0,1,0,0,4.5,4,2,0.889,0.445
Gary,Cahill,2,8,180,0,0,1,1,1,0,1,4.5,4,2,0.889,0.445
Christian,Atsu,3,8,154,0,1,1,0,1,0,0,5.4,4,2.338,0.741,0.433
Youri,Tielemans,3,19,358,1,1,3,2,1,0,0,6.4,11,2.765,1.719,0.432
João Filipe Iria,Santos Moutinho,3,13,269,0,1,3,3,1,0,0,5.5,7,2.342,1.273,0.426
Virgil,van Dijk,2,19,360,1,0,3,1,1,0,0,6.5,11,2.75,1.692,0.423
Nathan,Redmond,3,14,270,1,0,5,2,1,0,0,6.4,8,2.667,1.25,0.417
Gabriel Fernando,de Jesus,4,7,92,1,0,0,0,1,0,0,9.5,4,3.913,0.421,0.412
Callum,Wilson,4,20,337,1,3,8,0,0,0,1,7.8,12,3.205,1.538,0.411
Pierre-Emerick,Aubameyang,4,26,360,3,1,6,4,1,0,1,11,18,4.5,1.636,0.409
John,McGinn,3,17,360,1,1,6,0,1,0,0,5.6,9,2.25,1.607,0.402
Jordan,Pickford,1,16,360,0,0,4,1,2,0,0,5.6,9,2.25,1.607,0.402
Neal,Maupay,4,11,188,1,0,4,1,0,0,0,6,5,2.394,0.833,0.399
Bjorn,Engels,2,13,360,0,0,6,3,1,0,0,4.5,7,1.75,1.556,0.389
Çaglar,Söyüncü,2,15,360,0,1,3,0,1,0,0,4.5,7,1.75,1.556,0.389
Manuel,Lanzini,3,18,357,0,2,7,3,1,0,0,6.5,10,2.521,1.538,0.388
Oliver,McBurnie,4,9,159,1,0,3,1,0,0,1,5.9,4,2.264,0.678,0.384
Pascal,Groß,3,11,184,0,1,3,1,1,0,0,6.5,5,2.446,0.769,0.376
Kyle,Walker,2,16,359,0,1,3,0,2,0,2,6,9,2.256,1.5,0.376
Scott,McTominay,3,15,345,0,1,3,3,1,0,0,5,7,1.826,1.4,0.365
Andre,Gray,4,13,252,1,0,6,2,0,0,0,5.9,6,2.143,1.017,0.363
Oleksandr,Zinchenko,2,15,360,0,0,3,0,2,0,0,5.6,8,2,1.429,0.357
Vicente,Guaita,1,15,360,0,0,2,0,2,0,1,5,7,1.75,1.4,0.35
Dwight,McNeil,3,16,348,0,2,5,0,2,0,0,6,8,2.069,1.333,0.345
Bernardo Mota,Veiga de Carvalho e Silva,3,10,169,1,0,3,0,0,0,0,7.8,5,2.663,0.641,0.341
Harry,Kane,4,23,360,3,0,6,3,0,0,0,11,15,3.75,1.364,0.341
José Ignacio,Peleteiro Romallo,3,9,180,0,1,3,0,1,0,0,5.9,4,2,0.678,0.339
Matteo,Guendouzi,3,14,355,0,1,6,2,1,0,0,4.5,6,1.521,1.333,0.338
Raúl,Jiménez,4,18,360,2,0,5,3,1,0,1,7.4,10,2.5,1.351,0.338
Nacho,Monreal,2,10,270,0,0,4,1,1,0,0,5,5,1.667,1,0.333
Dean,Henderson,1,14,360,0,0,5,2,1,0,0,4.5,6,1.5,1.333,0.333
Issa,Diop,2,12,360,0,0,7,2,1,0,0,4.5,6,1.5,1.333,0.333
Ahmed,El Mohamady,2,6,184,0,0,5,3,0,0,0,4.5,3,1.467,0.667,0.326
Mathew,Ryan,1,12,360,0,0,7,2,1,0,0,4.6,6,1.5,1.304,0.326
Luke,Shaw,2,9,213,0,0,2,0,1,0,0,5.4,4,1.69,0.741,0.313
Michail,Antonio,3,6,125,0,1,2,0,0,0,0,6.9,3,2.16,0.435,0.313
Wesley,Moraes,4,15,337,1,0,4,3,1,0,0,6,7,1.869,1.167,0.312
Emil,Krafth,2,9,257,0,0,4,0,1,0,0,4.5,4,1.401,0.889,0.311
Leandro,Trossard,3,11,247,1,0,6,0,0,0,0,6,5,1.822,0.833,0.304
Jonny,Evans,2,14,360,0,0,3,2,1,0,0,5,6,1.5,1.2,0.3
Rui Pedro,dos Santos Patrício,1,20,360,0,0,5,2,1,0,0,5.1,6,1.5,1.176,0.294
Ricardo Domingos,Barbosa Pereira,2,15,360,0,0,3,3,1,0,0,6,7,1.75,1.167,0.292
Ederson,Santana de Moraes,1,17,360,0,0,3,0,2,0,1,6.1,7,1.75,1.148,0.287
James,Maddison,3,16,355,0,2,3,1,1,0,0,7.1,8,2.028,1.127,0.286
Fabio Henrique,Tavares,3,12,286,0,1,3,2,1,0,1,5.5,5,1.573,0.909,0.286
Matt,Doherty,2,9,210,0,0,2,0,1,0,0,6,4,1.714,0.667,0.286
Moise,Kean,4,8,142,0,1,3,0,0,0,0,6.8,3,1.901,0.441,0.28
Isaac,Hayden,3,13,360,0,1,5,2,1,0,1,4.5,5,1.25,1.111,0.278
Jan,Bednarek,2,11,360,0,0,6,1,1,0,0,4.5,5,1.25,1.111,0.278
Angus,Gunn,1,15,360,0,0,6,1,1,0,0,4.5,5,1.25,1.111,0.278
Seamus,Coleman,2,12,360,0,0,4,0,2,0,2,5.5,6,1.5,1.091,0.273
Nick,Pope,1,15,360,0,0,6,1,1,0,0,4.6,5,1.25,1.087,0.272
David,de Gea,1,15,360,0,0,4,2,1,0,0,5.6,6,1.5,1.071,0.268
Shane,Duffy,2,9,270,0,0,3,0,1,0,0,5,4,1.333,0.8,0.267
Christian,Pulisic,3,13,275,0,2,8,0,0,0,0,7.5,6,1.964,0.8,0.262
Christian,Eriksen,3,12,234,1,0,4,2,0,0,1,8.8,6,2.308,0.682,0.262
Sokratis,Papastathopoulos,2,11,360,0,0,6,2,1,0,1,5,5,1.25,1,0.25
Bernd,Leno,1,14,360,0,0,6,1,1,0,0,5,5,1.25,1,0.25
Adrián,San Miguel del Castillo,1,12,321,0,0,3,0,1,0,0,4.6,4,1.121,0.87,0.244
Chris,Basham,2,10,331,0,0,5,0,1,0,0,4.5,4,1.088,0.889,0.242
Rúben Diogo,da Silva Neves,3,13,343,1,0,5,1,1,0,2,5.5,5,1.312,0.909,0.239
Joelinton Cássio,Apolinário de Lira,4,13,333,1,0,4,3,1,0,2,5.9,5,1.351,0.847,0.229
Jamaal,Lascelles,2,11,351,0,0,5,0,1,0,0,4.5,4,1.026,0.889,0.228
Frédéric,Guilbert,2,6,180,0,0,1,0,1,0,2,4.4,2,1,0.455,0.227
Jamal,Lewis,2,8,359,0,0,9,0,1,0,0,4.5,4,1.003,0.889,0.223
Tom,Heaton,1,12,360,0,0,6,0,1,0,0,4.5,4,1,0.889,0.222
Dan,Burn,2,9,360,0,0,7,0,1,0,0,4.5,4,1,0.889,0.222
Matthew,Lowton,2,10,360,0,0,6,0,1,0,0,4.5,4,1,0.889,0.222
Jack,O'Connell,2,10,360,0,0,5,0,1,0,0,4.5,4,1,0.889,0.222
John,Egan,2,10,360,0,0,5,0,1,0,0,4.5,4,1,0.889,0.222
Angelo,Ogbonna,2,9,270,0,0,2,0,1,0,1,4.5,3,1,0.667,0.222
Emiliano,Buendía,3,13,360,0,2,10,0,0,0,1,6,5,1.25,0.833,0.208
Paul,Pogba,3,13,360,0,2,4,0,1,0,0,8.5,7,1.75,0.824,0.206
Sean,Longstaff,3,10,262,0,1,3,0,1,0,1,5,3,1.031,0.6,0.206
Davy,Pröpper,3,12,360,0,1,7,0,1,0,0,5,4,1,0.8,0.2
Ben,Mee,2,10,360,0,0,6,0,1,0,0,5,4,1,0.8,0.2
Kasper,Schmeichel,1,13,360,0,0,3,0,1,0,0,5,4,1,0.8,0.2
Martin,Dubravka,1,13,360,0,0,5,0,1,0,0,5,4,1,0.8,0.2
Lukasz,Fabianski,1,13,360,0,0,7,0,1,0,0,5,4,1,0.8,0.2
Conor,Coady,2,11,360,0,0,5,0,1,0,0,5,4,1,0.8,0.2
Nicolás,Otamendi,2,8,270,0,0,3,0,1,0,1,5.4,3,1,0.556,0.185
Aaron,Wan-Bissaka,2,11,360,0,0,4,2,1,0,2,5.5,4,1,0.727,0.182
Matt,Ritchie,2,8,270,0,0,4,0,1,0,1,5.5,3,1,0.545,0.182
Jonathan,Castro Otto,2,9,270,0,0,2,0,1,0,1,5.5,3,1,0.545,0.182
Gylfi,Sigurdsson,3,13,319,0,1,3,0,2,0,0,7.8,5,1.411,0.641,0.181
Mateo,Kovacic,3,10,281,0,1,7,0,0,0,0,5.5,3,0.961,0.545,0.175
Felipe Anderson,Pereira Gomes,3,9,229,0,1,3,0,1,0,1,6.9,3,1.179,0.435,0.171
Heung-Min,Son,3,7,168,0,1,3,0,0,0,0,9.5,3,1.607,0.316,0.169
Neil,Taylor,2,9,360,0,0,6,0,1,0,1,4.5,3,0.75,0.667,0.167
Jack,Grealish,3,12,360,0,1,6,1,1,0,1,6,4,1,0.667,0.167
Martín,Montoya,2,8,360,0,0,7,0,1,0,1,4.5,3,0.75,0.667,0.167
Paul,Dummett,2,10,360,0,0,5,1,1,0,2,4.5,3,0.75,0.667,0.167
