first_name,second_name,element_type,total_points,minutes,goals_scored,assists,goals_conceded,bonus,clean_sheets,red_cards,yellow_cards,now_cost,value_added,value_added_per_90,value_added_per_million,vapm_per_90
Matej,Vydra,4,4,12,0,1,0,0,0,0,0,5.4,3,22.5,0.556,4.17
Jeff,Hendrick,3,8,35,1,0,1,1,0,0,0,5.4,6,15.429,1.111,2.857
Serge,Aurier,2,14,90,0,2,0,2,1,0,0,4.9,12,12,2.449,2.449
Michy,Batshuayi,4,5,20,0,1,2,0,0,0,0,6.7,3,13.5,0.448,2.016
Moussa,Djenepo,3,16,123,2,0,0,3,1,0,2,5.4,12,8.78,2.222,1.626
Divock,Origi,4,15,125,1,1,3,3,0,0,0,5.4,10,7.2,1.852,1.333
Tammy,Abraham,4,42,327,7,0,7,9,0,0,2,7.3,35,9.633,4.795,1.32
Teemu,Pukki,4,49,442,6,2,12,9,0,0,0,7.1,39,7.941,5.493,1.118
Romain,Saïss,2,9,157,1,1,7,0,0,0,1,4.4,8,4.586,1.818,1.042
Billy,Sharp,4,7,64,1,0,2,3,0,1,0,5.8,4,5.625,0.69,0.97
Calum,Chambers,2,6,90,0,0,0,0,1,0,0,4.5,4,4,0.889,0.889
Fikayo,Tomori,2,10,180,1,0,4,2,0,0,0,4.5,8,4,1.778,0.889
Javier,Hernández Balcázar,4,9,106,1,0,4,2,0,0,0,6,6,5.094,1,0.849
Mark,Noble,3,12,174,1,0,1,2,1,0,0,5,8,4.138,1.6,0.828
Jordan,Ayew,4,21,293,2,0,4,6,3,0,1,5.1,13,3.993,2.549,0.783
Sergio,Agüero,4,46,356,7,1,6,6,1,0,0,12.1,37,9.354,3.058,0.773
Lucas,Torreira,3,10,121,1,0,3,0,0,0,0,4.9,5,3.719,1.02,0.759
Sébastien,Haller,4,23,270,3,0,6,5,1,0,0,7.5,17,5.667,2.267,0.756
Jannik,Vestergaard,2,27,450,1,0,6,6,2,0,1,5.1,19,3.8,3.725,0.745
Tanguy,Ndombele,3,15,203,1,1,3,2,0,0,0,6,10,4.433,1.667,0.739
Kevin,De Bruyne,3,37,359,1,5,3,6,2,0,0,9.8,28,7.019,2.857,0.716
Todd,Cantwell,3,27,437,2,2,12,2,0,0,1,4.9,17,3.501,3.469,0.714
Sadio,Mané,3,40,356,4,1,2,6,2,0,0,11.6,31,7.837,2.672,0.676
Harry,Wilson,3,17,247,2,0,6,1,0,0,0,6,11,4.008,1.833,0.668
Andriy,Yarmolenko,3,10,137,1,0,1,0,1,0,0,5.9,6,3.942,1.017,0.668
Arthur,Masuaku,2,15,270,0,1,2,3,1,0,1,4.5,9,3,2,0.667
Erik,Lamela,3,26,381,2,2,5,2,1,0,2,6.1,17,4.016,2.787,0.658
David,Silva,3,25,314,0,4,4,3,2,0,0,7.5,17,4.873,2.267,0.65
Mason,Mount,3,31,450,3,0,11,6,0,0,0,6.5,21,4.2,3.231,0.646
Sofiane,Boufal,3,13,181,0,2,2,0,1,0,0,5.5,7,3.481,1.273,0.633
Riyad,Mahrez,3,20,218,0,3,0,2,2,0,0,8.5,13,5.367,1.529,0.631
Heung-Min,Son,3,23,258,2,1,3,3,1,0,0,9.5,17,5.93,1.789,0.624
Callum,Wilson,4,33,427,3,3,9,3,0,0,1,7.8,23,4.848,2.949,0.622
Ashley,Barnes,4,29,412,4,0,5,4,2,0,1,6.7,19,4.15,2.836,0.62
Roberto,Firmino,4,35,397,2,4,3,6,1,0,0,9.5,26,5.894,2.737,0.62
Neal,Maupay,4,19,271,2,0,4,3,1,0,0,6,11,3.653,1.833,0.609
Douglas Luiz,Soares de Paulo,3,15,258,1,0,4,2,2,0,1,4.6,8,2.791,1.739,0.607
John,Lundstram,2,20,418,1,0,6,4,1,0,2,4.3,12,2.584,2.791,0.601
Alexandre,Lacazette,4,14,145,2,0,3,2,0,0,1,9.4,9,5.586,0.957,0.594
Chris,Mepham,2,13,271,1,0,7,2,0,0,0,4.5,8,2.657,1.778,0.59
James,Milner,3,9,113,0,1,1,0,1,0,0,5.4,4,3.186,0.741,0.59
Mohamed,Salah,3,45,438,4,2,3,7,2,0,0,12.5,35,7.192,2.8,0.575
Patrick,van Aanholt,2,22,450,1,0,6,2,2,0,0,5.6,16,3.2,2.857,0.571
Anthony,Martial,3,19,270,2,1,3,0,1,0,1,7.6,13,4.333,1.711,0.57
Daniel,Ceballos Fernández,3,16,254,0,2,5,3,0,0,0,5.7,9,3.189,1.579,0.559
Jetro,Willems,2,10,216,1,0,5,0,0,0,0,4.5,6,2.5,1.333,0.555
Alex,Iwobi,3,12,194,1,0,6,2,0,0,0,5.9,7,3.247,1.186,0.55
Tyrone,Mings,2,16,360,0,1,6,3,1,0,0,4.6,10,2.5,2.174,0.543
Daniel,James,3,23,374,3,0,4,1,1,0,3,6.2,14,3.369,2.258,0.543
Lucas,Digne,2,23,432,0,2,7,3,2,0,1,6.2,16,3.333,2.581,0.538
Johann Berg,Gudmundsson,3,14,226,1,0,2,1,2,0,0,6,8,3.186,1.333,0.531
Gabriel Fernando,de Jesus,4,11,125,1,1,0,0,1,0,0,9.5,7,5.04,0.737,0.531
Maya,Yoshida,2,9,193,0,0,2,1,1,0,0,4.4,5,2.332,1.136,0.53
Pierre-Emerick,Aubameyang,4,39,450,5,1,8,7,1,0,1,11,29,5.8,2.636,0.527
Marcus,Rashford,4,30,443,3,1,4,7,2,0,0,8.5,22,4.47,2.588,0.526
Callum,Robinson,3,16,294,1,1,4,1,0,0,0,5.3,9,2.755,1.698,0.52
Harvey,Barnes,3,10,147,1,0,1,0,0,0,0,5.9,5,3.061,0.847,0.519
Erik,Pieters,2,20,450,0,2,7,2,1,0,0,4.7,12,2.4,2.553,0.511
Ainsley,Maitland-Niles,2,20,450,0,2,8,3,1,0,0,5.1,13,2.6,2.549,0.51
Florin,Andone,4,5,71,1,0,2,1,0,1,0,5,2,2.535,0.4,0.507
Martin,Kelly,2,16,348,0,0,2,0,2,0,0,4.1,8,2.069,1.951,0.505
Joel,Matip,2,19,360,1,0,3,1,1,0,0,5.5,11,2.75,2,0.5
Fabian,Schär,2,20,433,1,0,8,2,1,0,0,5,12,2.494,2.4,0.499
Will,Hughes,3,21,361,1,1,10,3,0,0,0,5.5,11,2.742,2,0.499
Kevin,Danso,2,8,162,0,1,1,0,1,1,0,4.5,4,2.222,0.889,0.494
Angus,Gunn,1,24,450,0,0,6,3,2,0,0,4.5,11,2.2,2.444,0.489
Patrick,Cutrone,4,9,127,1,0,4,0,0,0,0,5.8,4,2.835,0.69,0.489
